category,type,quality,file,extension,width,height,mode,bands,type_image,mask,mask_bands,mask_mode,mask_type
ribbon,test,defect,001097,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,000940,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001111,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001099,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001028,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,000951,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001149,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,000978,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001216,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001092,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001047,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001040,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001123,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001197,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001085,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001163,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001170,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001089,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001125,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001129,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001113,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,000932,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001136,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,000992,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,000975,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001199,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001195,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001045,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001218,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001221,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,000946,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001066,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001112,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001115,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001138,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001154,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001007,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001104,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001202,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,000968,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001053,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001030,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001214,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001182,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,000964,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001042,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001150,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001059,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001201,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001081,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001093,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001087,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001107,.png,612,512,RGB,3,C,True,1.0,L,G
ribbon,test,defect,001157,.png,612,512,RGB,3,C,True,1.0,L,G
